id,name,status,source,shop_url,image_url,local_image_path
43,"Tengihólkur, Al/Cu, 25-95q, Slitboltar, 36kv, Mtg-25/95",skipped_existing,,,,/static/inventory_images/products/iskraft_43.webp
44,"Tengihólkur, Al/Cu, 95-240q, Slitboltar, 36kv, Mtg-95/240",skipped_existing,,,,/static/inventory_images/products/iskraft_44.webp
45,Flex 3 Spennahús,skipped_existing,,,,/static/inventory_images/products/iskraft_45.webp
46,"2x Schucko Tenglar, 2x10a C A206-0 2449425",skipped_existing,,,,/static/inventory_images/products/iskraft_46.webp
47,"2xcee Tenglar Acn 216-2 16a, Aðskil.Cee Bláir M.Sjálfvarsl.",skipped_existing,,,,/static/inventory_images/products/iskraft_47.webp
48,"3xcee Tenglar Ac310-3 Garo 10a, Cee Bláir M.Sjálfvarsle. 10a",skipped_existing,,,,/static/inventory_images/products/iskraft_48.webp
49,"3xcee Tenglar Ac316-3 Garo 16a, Cee Bláir M.Sjálfvarsle. 16a",skipped_existing,,,,/static/inventory_images/products/iskraft_49.webp
50,"Einf.Flangs Nýr Pnfe-60 Á Rör 60mm,",skipped_existing,,,,/static/inventory_images/products/iskraft_50.webp
51,"Flangs Pnfr 353010 Á Vegg, Beint Á Vegg F. Tenglahús Garo",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/tenglastodvar/garo-tenglastodvar/flangs-pnfr-353010-a-vegg-beint-a-vegg-f-tenglahus-garo/,https://iskraft.husa.is/media/4zsmq0oi/6107178.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_51.webp
52,"Mvl 3 Læsing 1970982 , Tenglahús",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/tenglastodvar/garo-tenglastodvar/mvl-3-laesing-1970982-tenglahus/,https://iskraft.husa.is/media/ui1hw03p/6107205_jan2017.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_52.webp
53,"Snerill 103568 Á Tenglahús, Tenglahús",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/tenglastodvar/garo-tenglastodvar/snerill-103568-a-tenglahus-tenglahus/,https://iskraft.husa.is/media/ds4lmwxg/6107206_jan2017.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_53.webp
